canonical_professor,reviews,mean_quality,mean_difficulty,quality_sd,department,cluster,bayesian_quality,bayesian_difficulty,alpha_raw,alpha_shrunk
Bertram Ashe,30,4.266666666666667,3.7,0.8276819867946672,English,A&S Humanities / Social Sciences / Arts,4.083490481248468,3.49268567693439,0.8041843361002322,0.4825106016601393
Betsy Mullen,23,4.6521739130434785,2.391304347826087,0.7751067757631798,Journalism,A&S Humanities / Social Sciences / Arts,4.259872652614497,2.7589368336446394,-0.001294704816678019,-0.0006925165298510334
Brannon McDaniel,29,4.482758620689655,3.0689655172413794,1.0895834608815431,Philosophy,A&S Humanities / Social Sciences / Arts,4.207643348212723,3.1149853846269284,0.5764156873737962,0.3411439782416345
Brian Henry,21,4.523809523809524,2.5238095238095237,1.077916862241593,English,A&S Humanities / Social Sciences / Arts,4.1749883917664246,2.8447386304077926,0.6303888934098195,0.32288211613673684
Burgess Rhodes,30,2.3,2.8333333333333335,1.2635472781569874,Mathematics,Math & CS,2.9034904812484683,2.97268567693439,-1.0955225989361959,-0.6573135593617175
Carlos Hurtado,55,4.1454545454545455,2.8,1.1290471534650244,Business,Robins Business,4.055660320832312,2.9017904512895933,0.08468632570892175,0.062103305519875945
Carol Parish,21,3.6666666666666665,3.6666666666666665,1.3540064007726602,Chemistry,Gottwald Sciences,3.7359640015225217,3.4301044840663293,-0.22602056960114073,-0.11576663321034038
Carol Summers,44,3.3181818181818183,4.0227272727272725,1.3254701188411617,History,A&S Humanities / Social Sciences / Arts,3.471476938475366,3.759910685104992,-0.36735901613160943,-0.2525593235904815
Carrie WU,25,4.24,3.28,1.0115993936995678,Biology,Gottwald Sciences,4.048322756942742,3.2363174188159887,0.5178026603687688,0.287668144649316
Cemile Kumas,20,4.3,3.4,1.0310954828418375,Chemistry,Gottwald Sciences,4.054363101560585,3.2908570961679873,0.18411209678997653,0.09205604839498827
Chad Curtis,37,4.324324324324325,2.5675675675675675,0.8183334709454757,Economics,Economics,4.143412702849534,2.7830576113459564,0.25671150304756707,0.16663729145192951
Chris Shugrue,20,4.65,3.2,0.8750939799154208,Chemistry,Gottwald Sciences,4.229363101560585,3.1908570961679876,0.40845409808015276,0.20422704904007638
Chris Stevenson,27,3.074074074074074,3.6296296296296298,1.268734254951213,Chemistry,Gottwald Sciences,3.3866920013281576,3.439027315887649,-0.7632475373397838,-0.43846135123774815
Cindy Bukach,20,3.0,3.9,1.6858544608470492,Psychology,A&S Humanities / Social Sciences / Arts,3.404363101560585,3.5408570961679873,-0.760584201738489,-0.3802921008692445
Corrado Corradini,22,4.636363636363637,2.6363636363636362,0.7895420339517227,Spanish,A&S Humanities / Social Sciences / Arts,4.242250572914843,2.8960543773028453,0.4357836142015135,0.22826760743888805
Craig Heinicke,71,2.8309859154929575,2.732394366197183,1.2069550292599704,Economics,Economics,3.0458738907958613,2.831145976337577,-1.120042137828807,-0.8738790306136845
Dan Chen,21,4.809523809523809,2.8095238095238093,0.5117663157191589,Political Science,A&S Humanities / Social Sciences / Arts,4.321329855181059,2.9910800938224265,0.3373409794089386,0.17278440408750514
Dan Palazzolo,31,4.741935483870968,3.5806451612903225,0.5143113152870136,Political Science,A&S Humanities / Social Sciences / Arts,4.375971060047518,3.4242016440533236,0.753729845015655,0.4581495136369667
Dana El Kurd,21,4.190476190476191,2.9523809523809526,1.077916862241593,Political Science,A&S Humanities / Social Sciences / Arts,4.004256684449351,3.0642508255297436,-0.26392543172937344,-0.1351813186906547
Dana Lascu,34,4.0,2.8823529411764706,1.3257359305592338,Marketing,Robins Business,3.929157853007841,2.993227478642954,0.22258751410923588,0.14014769406877817
Daniel MacKay,49,3.7551020408163267,3.0816326530612246,1.3312057855708916,Economics,Economics,3.770645276267006,3.110641794879993,0.10887461049962893,0.07731675238379446
Daniel Paik,43,3.8372093023255816,2.7209302325581395,1.2711118597162905,Accounting,Robins Business,3.8281670486098953,2.8672108547098336,-0.2631193051205826,-0.17958936698706435
Darrell Walden,79,3.7468354430379747,2.7848101265822787,1.5397998074206962,Accounting,Robins Business,3.759338626893166,2.8649927661284798,-0.4147198145584812,-0.33093803383959614
David Brandenberger,44,4.659090909090909,3.7954545454545454,0.7453165963217531,History,A&S Humanities / Social Sciences / Arts,4.393351938475366,3.603660685104992,0.8406358086503508,0.5779371184471161
David Routt,31,3.935483870967742,3.2580645161290325,0.9638631946829986,History,A&S Humanities / Social Sciences / Arts,3.8857749816161453,3.2281232126807744,0.03559673370758408,0.021637230292845224
David Soule,27,4.2592592592592595,3.2222222222222223,1.163304067420188,Management,Robins Business,4.067543065157945,3.20498476269616,0.21255696395256785,0.12210719205785814
Dean Simpson,29,3.7241379310344827,3.1379310344827585,1.2217245341886294,Classics,A&S Humanities / Social Sciences / Arts,3.758663756375988,3.1558017111575407,-0.11249203170542063,-0.06657691672361629
Della Dumbaugh,49,4.040816326530612,3.510204081632653,1.353378237249744,Mathematics,Math & CS,3.9735438269916434,3.4149896209669492,0.9004398049351282,0.6394427600263954
Dixon Abreu,46,4.1521739130434785,2.760869565217391,1.0742933864607174,Languages,A&S Humanities / Social Sciences / Arts,4.048098849430659,2.888398240101811,0.05335797400478794,0.037188890973034024
Dominique Williams,22,1.5454545454545454,3.590909090909091,1.0107645728086347,Chemistry,Gottwald Sciences,2.6232029538672235,3.3960543773028453,-2.536728134620114,-1.3287623562295834
Douglas Szajda,26,2.9615384615384617,4.615384615384615,1.84349167029893,Computer Science,Math & CS,3.3298809578787694,3.9920496488417276,0.033048112000421966,0.018679367652412415
Douglas Winiarski,33,4.454545454545454,3.1818181818181817,0.971175482691886,Theology,A&S Humanities / Social Sciences / Arts,4.2108400766494976,3.1817789405041417,0.13111883688241965,0.08164003051169526
Edward Ayers,23,3.9130434782608696,3.0869565217391304,1.4432615676200797,History,A&S Humanities / Social Sciences / Arts,3.864523815405195,3.1310298569004535,0.0221911397715525,0.011869679412690872
Elena Calvillo,20,3.85,3.4,1.3869694338832113,Art History,A&S Humanities / Social Sciences / Arts,3.829363101560585,3.2908570961679873,0.12623295072814572,0.06311647536407286
Elisabeth Wray,24,4.583333333333333,2.7916666666666665,0.928611242975073,History,A&S Humanities / Social Sciences / Arts,4.2312391832368945,2.968960996516352,0.48553575664074183,0.2648376854404046
Elizabeth Baughan,20,4.3,3.3,0.6569466853317862,Classics,A&S Humanities / Social Sciences / Arts,4.054363101560585,3.2408570961679875,0.4147332854231115,0.20736664271155575
Elizabeth Outka,26,4.730769230769231,3.923076923076923,0.533493565673837,English,A&S Humanities / Social Sciences / Arts,4.329880957878769,3.6007453010156407,1.3354667131286972,0.754829011768394
Emily Boone,51,3.607843137254902,3.1176470588235294,1.342809463364762,Biology,Gottwald Sciences,3.6644299163721605,3.1356941386861905,-0.12104849524632504,-0.0869503275713039
Emma Goldman,41,4.2682926829268295,2.4634146341463414,0.8951086594347761,Chemistry,Gottwald Sciences,4.117615148564318,2.698922686011795,-0.07088495014677422,-0.04764398288553677
Eric Yellin,25,4.16,3.88,1.1789826122551594,History,A&S Humanities / Social Sciences / Arts,4.003878312498298,3.569650752149322,0.4489949491454117,0.24944163841411762
Erik Craft,177,3.3389830508474576,3.8022598870056497,1.468728997817254,Economics,Economics,3.3866727109767685,3.739260324095023,-0.14010053922288893,-0.1258771342256413
Frank Eakin,24,4.0,1.9166666666666667,1.1420804814403216,Religion,A&S Humanities / Social Sciences / Arts,3.913057365055077,2.4916882692436246,0.017857243868532307,0.009740314837381258
Gary Greenfield,27,2.074074074074074,3.740740740740741,1.10682935679861,Computer Science,Math & CS,2.8122239162217744,3.5028571031216917,-1.0683121190624356,-0.6137112173337397
Geoff Goddu,52,3.8846153846153846,3.826923076923077,1.3233031480803845,Philosophy,A&S Humanities / Social Sciences / Arts,3.8635350564225472,3.647698386759993,0.374218123618406,0.27026864483551544
Graeme Mack,22,5.0,2.090909090909091,0.0,History,A&S Humanities / Social Sciences / Arts,4.432726763391033,2.6103400915885597,0.3278437805540332,0.17172769457592216
Harry Hoke,57,3.3157894736842106,2.736842105263158,1.227044863786309,Mathematics,Math & CS,3.4438249878236804,2.852393296710643,-0.13023289117501816,-0.09640616619449396
Hilary Raymond,35,4.6571428571428575,2.4285714285714284,0.6835399701234031,Languages,A&S Humanities / Social Sciences / Arts,4.34862771022588,2.702441524485809,0.3735879529256011,0.23773778822538252
Huyen Curtis,45,3.5555555555555554,3.311111111111111,1.4389951600707596,Economics,Economics,3.6334542163449752,3.2712966745649155,-0.22972445168133476,-0.15904000501015483
Ivan Feldman,47,4.723404255319149,3.595744680851064,0.8262573464667011,Business,Robins Business,4.450366030782439,3.4721534902495446,0.9828606292641251,0.6894693966479684
James Davis,67,3.253731343283582,4.1940298507462686,1.5209973161780717,Mathematics,Math & CS,3.3813163685336023,3.9613136074335573,0.35793255759368964,0.2756492110204276
James Monks,33,3.303030303030303,3.878787878787879,1.5509039397406372,Economics,Economics,3.4938589445740265,3.6157412046550848,-0.10324523982030431,-0.0642847719635857
Jane Geaney,45,3.4444444444444446,3.533333333333333,1.5602382620431514,Religious Studies,A&S Humanities / Social Sciences / Arts,3.5565311394218986,3.425142828411069,0.05115667603815656,0.03541616033410839
Javier Hidalgo,20,3.8,3.55,1.7350868323485926,Leadership,Jepson,3.804363101560585,3.3658570961679875,-0.08013002278875632,-0.04006501139437816
Jeff Hass,34,3.2941176470588234,3.4705882352941178,1.3823434595950477,Sociology,A&S Humanities / Social Sciences / Arts,3.484713408563396,3.363597849013324,-0.14110209097159204,-0.08884205727840981
Jeff Simpson,35,4.285714285714286,2.914285714285714,0.7503500583621179,Chemistry,Gottwald Sciences,4.112264073862244,3.0115324335767184,-0.06492314647054998,-0.04131472957216817
Jennifer Erkulwater,35,4.3428571428571425,3.5428571428571427,1.1617141782438456,Political Science,A&S Humanities / Social Sciences / Arts,4.148627710225879,3.411532433576718,0.33268306312318247,0.21170740380566155
Jennifer Nourse,25,3.2,1.72,1.2909944487358054,Humanities,A&S Humanities / Social Sciences / Arts,3.4705449791649645,2.3696507521493224,-0.09740310250471433,-0.0541128347248413
Jennifer Pribble,21,4.190476190476191,3.7142857142857144,1.1233453440081378,Political Science,A&S Humanities / Social Sciences / Arts,4.004256684449351,3.4544947279687683,0.21017937977056775,0.10765285305321763
Jeremy LeCrone,32,3.59375,4.0,1.4779972281610048,Mathematics,Math & CS,3.6764331550466043,3.6852746893599906,0.44629414396225886,0.27464255013062083
Jimmy Kandeh,35,4.057142857142857,2.085714285714286,1.1617141782438454,Political Science,A&S Humanities / Social Sciences / Arts,3.966809528407698,2.484259706303991,-0.3621359344613205,-0.23045014011174939
Joanna Drell,25,4.12,3.24,1.2013880860626733,History,A&S Humanities / Social Sciences / Arts,3.9816560902760756,3.214095196593767,0.1687564062683122,0.09375355903795123
Joanna Wares,33,4.363636363636363,2.121212121212121,1.1406736446663275,Mathematics,Math & CS,4.154236303064592,2.5214015820135756,0.6102178440983349,0.3799469595329255
Joe Hoyle,74,4.527027027027027,4.378378378378378,0.9099597006427153,Accounting,Robins Business,4.374197064493867,4.123768977092761,1.1314684816922433,0.8907305068641065
Joel Eisen,21,2.761904761904762,3.5238095238095237,1.4800257398019099,Law,Other / Excluded,3.2725493673761807,3.356933752359012,-0.5562669114535345,-0.2849171985493713
John Gupton,20,4.25,3.0,1.2085223687584246,Chemistry,Gottwald Sciences,4.029363101560585,3.0908570961679875,0.22326665860877126,0.11163332930438563
John Treadway,42,4.642857142857143,2.9285714285714284,0.7593780693862632,History,A&S Humanities / Social Sciences / Arts,4.373782646168119,3.0102303846245078,0.6734352736742165,0.4561980886180176
John Warrick,32,3.125,3.40625,1.3136995286643378,Biology,Gottwald Sciences,3.3879716165850655,3.319890073975375,-0.29215251541929144,-0.1797861633349486
John Wight,37,3.7567567567567566,3.3783783783783785,1.3825380325370478,Economics,Economics,3.774991650217954,3.3093734008196405,0.2726037191337175,0.17695329136750085
Jonathan Dattelbaum,23,4.521739130434782,3.0,0.7902568752334616,Chemistry,Gottwald Sciences,4.190105210754032,3.0845182289934767,0.41633674966669487,0.2226917498217205
Jonathan Whitaker,21,3.5714285714285716,3.142857142857143,1.5023790657297038,Business,Robins Business,3.687183513717644,3.1618118011394998,-0.25069563826346436,-0.12840508301299394
Joseph Obi,22,3.3636363636363638,1.7727272727272727,0.902137912878521,Sociology,A&S Humanities / Social Sciences / Arts,3.575583906248176,2.4436734249218928,-0.5102016555707999,-0.2672484862513714
Joyce MacAllister,56,2.1785714285714284,3.142857142857143,1.1616155342240606,English,A&S Humanities / Social Sciences / Arts,2.6075595271371497,3.153082682193677,-1.3823902132411858,-1.018603315019821
Julian Hayter,39,4.769230769230769,3.41025641025641,0.5361430711223921,Leadership,Jepson,4.443636001058024,3.3327844719782966,0.8204149651042212,0.5423081972722819
Julie Baker,55,4.1454545454545455,3.709090909090909,1.0077143521297172,Languages,A&S Humanities / Social Sciences / Arts,4.055660320832312,3.56845711795626,0.4482622263766439,0.3287256326762055
Julie Fulcher,20,4.35,1.5,0.9333020044867294,Theater,A&S Humanities / Social Sciences / Arts,4.079363101560585,2.3408570961679875,0.01868762046628536,0.00934381023314268
Julie Pollock,22,3.6363636363636362,3.8636363636363638,1.6196841122196093,Chemistry,Gottwald Sciences,3.7184410491053193,3.5389115201599886,-0.28458251795903017,-0.14906703321663486
Julietta Singh,22,3.772727272727273,3.0,1.5409279264322764,English,A&S Humanities / Social Sciences / Arts,3.7898696205338904,3.086530567779036,0.014426866397223227,0.007556930017593119
Kasongo Kapanga,29,3.6551724137931036,2.8275862068965516,1.446075034334702,Languages,A&S Humanities / Social Sciences / Arts,3.717847429845376,2.9721282417697856,-0.42620070353727013,-0.2522412327057313
Katherine Hoke,31,4.516129032258065,2.774193548387097,1.0915117266719423,Mathematics,Math & CS,4.238716158086733,2.934005565621951,0.9344892759586549,0.5680228932297706
Kathrin Bower,22,4.181818181818182,3.8636363636363638,0.8528028654224414,Languages,A&S Humanities / Social Sciences / Arts,4.004155334819605,3.5389115201599886,0.5698542378002611,0.29849507694299393
Kathryn Jacobsen,21,4.142857142857143,2.9523809523809526,1.3522468075656264,Health Science,Other / Excluded,3.979866440546912,3.0642508255297436,-0.21304911306536878,-0.10912271644811572
Kathy Zoghby,24,3.5,2.7083333333333335,1.103354568734741,Biology,Gottwald Sciences,3.6403300923278046,2.9235064510618067,-0.25669271852436154,-0.1400142101041972
Kayleigh McCrary,23,4.391304347826087,2.608695652173913,1.2335879094879223,Economics,Economics,4.120337768893567,2.875215903412081,0.40090756890540746,0.21443893220521792
Kelly Shaw,22,3.5,3.8636363636363638,1.4057704208690955,Computer Science,Math & CS,3.6470124776767476,3.5389115201599886,0.21836508796770693,0.11438171274498934
Kevin Cherry,30,3.6666666666666665,3.9,1.7485626280942348,Political Science,A&S Humanities / Social Sciences / Arts,3.7234904812484677,3.6126856769343902,-0.2150159825777256,-0.12900958954663536
Kevin Cruz,66,4.53030303030303,3.409090909090909,0.7487363091276265,Management,Robins Business,4.362494465842133,3.3562126028688315,0.5097624512850976,0.39121304400949347
Kevin Harding,20,4.6,2.35,0.9947229183096801,Music,A&S Humanities / Social Sciences / Arts,4.204363101560585,2.765857096167988,0.7246503471275798,0.3623251735637899
Kevin Pelletier,21,4.809523809523809,3.6666666666666665,0.40237390808147827,English,A&S Humanities / Social Sciences / Arts,4.321329855181059,3.4301044840663293,1.2493054615017776,0.6398881632082275
Kevin Webster,40,4.975,2.925,0.15811388300841892,Psychology,A&S Humanities / Social Sciences / Arts,4.586242067707056,3.0105713974453248,0.5878912104194132,0.3919274736129421
Kibibi MacK-Shelton,30,4.366666666666666,2.6666666666666665,1.1591713250937241,History,A&S Humanities / Social Sciences / Arts,4.143490481248468,2.87268567693439,0.33759396019204224,0.20255637611522534
Kim Shannon,29,2.793103448275862,4.103448275862069,1.372674926266948,Mathematics,Math & CS,3.2076433482127227,3.7272302825861123,-0.18991495635932923,-0.11239864764123567
Kristin Bezio,26,3.1538461538461537,3.6923076923076925,1.4336612624272915,Leadership,Jepson,3.4385766100526824,3.4703105184069454,-0.710410636680572,-0.4015364468194537
Kristine Nolin,47,4.319148936170213,2.765957446808511,1.3690107977267099,Chemistry,Gottwald Sciences,4.1667839412302,2.890063938010739,0.007938142331854876,0.005568547605928047
Kyle Redican,21,4.714285714285714,1.9047619047619047,0.7171371656006362,Geography,A&S Humanities / Social Sciences / Arts,4.272549367376181,2.5276654596760855,0.3537462560515521,0.18118710675811203
Laura Runyen-Janecky,26,3.730769230769231,3.4615384615384617,1.4299004806682825,Biology,Gottwald Sciences,3.7646635665744217,3.33987573579825,0.2576941204928372,0.1456531985394297
Lauren Henley,26,3.1923076923076925,3.730769230769231,1.9394686028751436,Leadership,Jepson,3.460315740487465,3.4920496488417285,-0.6137745194489154,-0.3469160327319956
Lee Carleton,38,3.8421052631578947,3.6315789473684212,1.3461921430158093,English,A&S Humanities / Social Sciences / Arts,3.8305952424555763,3.476453169771026,0.6183993435496636,0.40515819060150376
Leo Wibberly,45,2.688888888888889,2.911111111111111,1.36218778278017,Mathematics,Math & CS,3.0334542163449756,2.9943735976418386,-0.5859653682454442,-0.4056683318622306
Lester Caudill,67,2.328358208955224,3.701492537313433,1.2478837807857983,Mathematics,Math & CS,2.668672690372683,3.582003262605971,-0.7690078193702368,-0.5922244126184582
Lewis Litteral,38,2.710526315789474,4.026315789473684,1.3538312948681746,Business,Robins Business,3.089215932110749,3.7350738594261985,-0.5422037436637147,-0.3552369355038131
Lidia Radi,25,4.48,2.56,0.8717797887081347,Languages,A&S Humanities / Social Sciences / Arts,4.181656090276076,2.836317418815989,0.2223912705517189,0.12355070586206605
Linda Boland,29,2.0689655172413794,3.8620689655172415,1.2798167972341814,Biology,Gottwald Sciences,2.779071919641294,3.584373139728969,-1.169516006800911,-0.6921625346372738
Linda Hobgood,42,3.0476190476190474,3.4047619047619047,1.4474937289114918,Communication,A&S Humanities / Social Sciences / Arts,3.293137484877797,3.3328110297857982,-0.7966162035685651,-0.5396432346754796
Lorenza Marcin,21,3.761904761904762,2.9047619047619047,1.3001831372834332,Languages,A&S Humanities / Social Sciences / Arts,3.7847444893274,3.0398605816273045,-0.13075890846215274,-0.06697407506598067
Louis Schwartz,34,4.352941176470588,3.5,0.981104910251593,English,A&S Humanities / Social Sciences / Arts,4.151380075230063,3.3821163675318426,0.8760585852848486,0.5515924425867565
Luai Allarakia,21,3.9523809523809526,2.2857142857142856,1.2835961388299078,Political Science,A&S Humanities / Social Sciences / Arts,3.882305464937156,2.7227874108955974,-0.7211590882640072,-0.36937416715961346
Maia Linask,32,2.8125,3.875,1.6546610607029015,Economics,Economics,3.1956639242773734,3.6083516124369135,-0.6179400623699984,-0.38027080761230675
Manuella Meyer,23,4.434782608695652,3.5652173913043477,0.8434823356732998,History,A&S Humanities / Social Sciences / Arts,4.143593582847055,3.386843810388825,0.48812664727991545,0.2610909973822803
Marbury Fagan,36,3.1666666666666665,3.1944444444444446,1.3416407864998738,Accounting,Robins Business,3.395973643971846,3.189897925834277,-0.5862745737571325,-0.3768907974152995
Marcia Whitehead,20,2.6,3.65,1.465390194130093,Literature,A&S Humanities / Social Sciences / Arts,3.204363101560585,3.4158570961679873,-0.0006377927853539411,-0.0003188963926769706
Maren Reiner,22,4.681818181818182,1.9090909090909092,0.7162311170195085,Biology,Gottwald Sciences,4.266060096724367,2.515101996350464,0.4706466937206571,0.2465292205203442
Mari Lee Mifsud,36,3.4722222222222223,3.8333333333333335,1.4635790009642433,Communication,A&S Humanities / Social Sciences / Arts,3.5924022154004183,3.6006122115485626,-0.18594594062581585,-0.11953667611659591
Mariama de Sousa Dias,24,3.0833333333333335,3.75,1.9318084941243565,Physics,Gottwald Sciences,3.413057365055077,3.4916882692436246,-0.6366028742048849,-0.34723793138448267
Marianella Belliard,27,2.6296296296296298,4.074074074074074,1.362919607882232,Languages,A&S Humanities / Social Sciences / Arts,3.131372852391988,3.69434646482382,-0.6787400857109388,-0.3899145173233053
Marie McGoldrick,100,3.49,4.23,1.6726860996250277,Economics,Economics,3.5431210338535286,4.055285698722663,0.28079477076166054,0.23399564230138378
Marshall Geiger,31,3.5161290322580645,3.935483870967742,1.5247069170157583,Accounting,Robins Business,3.6308730208318316,3.6398879185631277,-0.1669858413793221,-0.10150119770115656
Martin Sulzer-Reichel,35,4.142857142857143,1.6571428571428573,0.9437988676201136,Languages,A&S Humanities / Social Sciences / Arts,4.021354982953153,2.2115324335767186,-0.3719785809797319,-0.23671364244164758
Matt Trawick,38,3.789473684210526,3.736842105263158,1.3980274663203363,Physics,Gottwald Sciences,3.796112483834886,3.545418687012405,0.29762812669668853,0.19499773818058902
Mavis Brown,28,4.25,1.3571428571428572,0.7993052538854529,Education,Other / Excluded,4.066135917967155,2.117380913473323,-0.3375768262187636,-0.1969198152942788
Melinda Yang,22,3.590909090909091,4.2727272727272725,1.4026875872882272,Biology,Gottwald Sciences,3.694631525295795,3.753197234445702,0.24210697821205382,0.12681794096821866
Melissa Spencer,22,4.2272727272727275,2.9545454545454546,1.2317938209440806,Business,Robins Business,4.027964858629129,3.062721043969512,0.19779101168503976,0.10360481564454464
Michael Kerckhove,63,2.0476190476190474,3.9682539682539684,1.3128222667777485,Mathematics,Math & CS,2.471982217619559,3.7787263114062593,-0.923370663752392,-0.7008717086313336
Michael Norris,21,4.714285714285714,3.4285714285714284,0.6436503043467892,Chemistry,Gottwald Sciences,4.272549367376181,3.308153264554134,0.563185642485098,0.28846093883383067
Michelle Hamm,32,4.5,3.46875,0.762000762001143,Chemistry,Gottwald Sciences,4.234125462738912,3.3583516124369135,0.6142996442775844,0.37803055032466737
Michelle Kahn,32,4.9375,3.46875,0.2459346884189823,History,A&S Humanities / Social Sciences / Arts,4.503356231969681,3.3583516124369135,0.8675916056077622,0.5339025265278536
Mike Leopold,49,4.6938775510204085,3.36734693877551,0.6832545167753215,Chemistry,Gottwald Sciences,4.437311942933674,3.3135403456046304,0.709953941897974,0.504170190623199
Mimi Hanaoka,35,3.657142857142857,3.857142857142857,1.6439346119609992,Religion,A&S Humanities / Social Sciences / Arts,3.7122640738622437,3.611532433576718,0.18640603176209483,0.11862202021224216
Miranda Shaw,28,2.5357142857142856,3.5,1.6438920136009396,Religion,A&S Humanities / Social Sciences / Arts,3.0661359179671543,3.3673809134733235,-0.7385435222240776,-0.43081705463071196
Miriam McCormick,27,2.8518518518518516,3.1481481481481484,1.4061322758574233,Philosophy,A&S Humanities / Social Sciences / Arts,3.2590324268600726,3.162431571206798,-0.8521160147130479,-0.4895134552606871
Monti Datta,33,4.454545454545454,1.878787878787879,0.8325754129097364,Political Science,A&S Humanities / Social Sciences / Arts,4.2108400766494976,2.3704581857871605,-0.30652101040369567,-0.1908527045909803
Nancy Schauber,33,3.212121212121212,3.5454545454545454,1.5960415047386722,Philosophy,A&S Humanities / Social Sciences / Arts,3.4372551709891206,3.4081940348437643,-0.37901352548510764,-0.23598955360393492
Nathan Snaza,25,4.56,2.88,0.6506407098647711,English,A&S Humanities / Social Sciences / Arts,4.22610053472052,3.014095196593767,0.6996792889489316,0.3887107160827398
Neeraja Gupta,21,3.3333333333333335,3.1904761904761907,1.5275252316519468,Economics,Economics,3.5652322942054493,3.186202045041939,-0.46457333867906075,-0.23795219786000674
Nicole Sackley,25,4.2,3.72,1.0801234497346435,History,A&S Humanities / Social Sciences / Arts,4.02610053472052,3.4807618632604336,0.33731699904612483,0.1873983328034027
Nuray Grove,23,2.608695652173913,2.869565217391304,1.616368838274196,English,A&S Humanities / Social Sciences / Arts,3.166849396800544,3.0147507871330115,-0.9581471584030055,-0.5124973172853284
Olivier Delers,30,4.466666666666667,2.2666666666666666,1.0742546199601597,Languages,A&S Humanities / Social Sciences / Arts,4.203490481248468,2.63268567693439,0.12599890081030365,0.07559934048618219
Paul Achter,21,3.7142857142857144,3.857142857142857,1.4540583599999395,Communication,A&S Humanities / Social Sciences / Arts,3.760354245424961,3.5276654596760855,0.061371398161026214,0.03143413076540367
Paul Kvam,27,4.296296296296297,3.074074074074074,1.3816048309237736,Mathematics,Math & CS,4.088819660902626,3.119878379717436,0.6752460872194658,0.38790732670054423
